timestamp,actionEye,powerUpperFace,actionUpperFace,powerLowerFace,actionLowerFace
1740095394.0895,blink,0,neutral,1,laugh
1740095394.1209,blink,0,neutral,1,laugh
1740095394.1522,blink,0,neutral,1,laugh
1740095394.1835,blink,0,neutral,1,laugh
1740095394.2154,neutral,0,neutral,1,laugh
1740095394.2469,neutral,0,neutral,1,laugh
1740095394.2785,neutral,0,neutral,1,laugh
1740095394.31,neutral,0,neutral,1,laugh
1740095394.3415,neutral,0,neutral,1,laugh
1740095394.373,neutral,0,neutral,1,laugh
1740095394.4043,neutral,0,neutral,1,laugh
1740095394.4361,neutral,0,neutral,1,laugh
1740095394.4674,neutral,0,neutral,1,laugh
1740095394.4987,neutral,0,neutral,1,laugh
1740095394.5302,neutral,0,neutral,1,laugh
1740095394.5615,neutral,0,neutral,1,laugh
1740095394.5931,neutral,0,neutral,1,laugh
1740095394.6246,neutral,0,neutral,1,laugh
1740095394.6561,neutral,0,neutral,1,laugh
1740095394.6872,neutral,0,neutral,1,laugh
1740095394.7186,neutral,0,neutral,1,laugh
1740095394.7501,neutral,0,neutral,1,laugh
1740095394.7812,neutral,0,neutral,1,laugh
1740095394.8129,neutral,0,neutral,1,laugh
1740095394.8448,neutral,0,neutral,1,laugh
1740095394.8766,neutral,0,neutral,1,laugh
1740095394.9081,neutral,0,neutral,1,laugh
1740095394.9398,neutral,0,neutral,1,laugh
1740095394.9713,neutral,0,neutral,1,laugh
1740095395.0026,neutral,0,neutral,1,laugh
1740095395.0338,neutral,0,neutral,1,laugh
1740095395.0655,neutral,0,neutral,1,laugh
1740095395.0968,neutral,0,neutral,1,laugh
1740095395.1285,neutral,0,neutral,1,laugh
1740095395.16,neutral,0,neutral,1,laugh
1740095395.1916,neutral,0,neutral,1,laugh
1740095395.2231,neutral,0,neutral,1,laugh
1740095395.2548,neutral,0,neutral,1,laugh
1740095395.2865,neutral,0,neutral,1,laugh
1740095395.3178,neutral,0,neutral,1,laugh
1740095395.349,neutral,0,neutral,1,laugh
1740095395.3801,neutral,0,neutral,1,laugh
1740095395.4114,neutral,0,neutral,1,laugh
1740095395.4431,blink,0,neutral,1,laugh
1740095395.4749,blink,0,neutral,1,laugh
1740095395.5064,blink,0,neutral,1,laugh
1740095395.5379,blink,0,neutral,1,laugh
1740095395.5696,blink,0,neutral,1,laugh
1740095395.6011,neutral,0,neutral,1,laugh
1740095395.6329,neutral,0,neutral,1,laugh
1740095395.6642,neutral,0,neutral,1,laugh
1740095395.6959,neutral,0,neutral,1,laugh
1740095395.7272,neutral,0,neutral,1,laugh
1740095395.7591,neutral,0,neutral,1,laugh
1740095395.7905,neutral,0,neutral,1,laugh
1740095395.8222,neutral,0,neutral,1,laugh
1740095395.8541,neutral,0,neutral,1,laugh
1740095395.8859,neutral,0,neutral,1,laugh
1740095395.9176,neutral,0,neutral,1,laugh
1740095395.9491,neutral,0,neutral,1,laugh
1740095395.9802,neutral,0,neutral,1,laugh
1740095396.0117,neutral,0,neutral,1,laugh
1740095396.043,neutral,0,neutral,1,laugh
1740095396.075,neutral,0,neutral,1,laugh
1740095396.1063,neutral,0,neutral,1,laugh
1740095396.1378,neutral,0,neutral,1,laugh
1740095396.1695,neutral,0,neutral,1,laugh
1740095396.2012,neutral,0,neutral,1,laugh
1740095396.2326,neutral,0,neutral,1,laugh
1740095396.2643,neutral,0,neutral,1,laugh
1740095396.2954,neutral,0,neutral,1,laugh
1740095396.3265,neutral,0,neutral,0.685786,laugh
1740095396.3582,neutral,0,neutral,0.685786,laugh
1740095396.3902,neutral,0,neutral,0.685786,laugh
1740095396.4221,neutral,0,neutral,0.685786,laugh
1740095396.4538,neutral,0,neutral,0.590341,laugh
1740095396.4853,neutral,0,neutral,0.590341,laugh
1740095396.5166,neutral,0,neutral,0.590341,laugh
1740095396.548,neutral,0,neutral,0.590341,laugh
1740095396.5795,neutral,0,neutral,0.585541,laugh
1740095396.6108,neutral,0,neutral,0.585541,laugh
1740095396.6419,neutral,0,neutral,0.585541,laugh
1740095396.6736,neutral,0,neutral,0.585541,laugh
1740095396.7054,neutral,0,neutral,1,laugh
1740095396.7371,neutral,0,neutral,1,laugh
1740095396.7688,neutral,0,neutral,1,laugh
1740095396.8005,neutral,0,neutral,1,laugh
1740095396.8319,neutral,0,neutral,1,laugh
1740095396.8632,neutral,0,neutral,1,laugh
1740095396.8943,neutral,0,neutral,1,laugh
1740095396.926,neutral,0,neutral,1,laugh
1740095396.9573,neutral,0,neutral,0.800139,laugh
1740095396.9891,neutral,0,neutral,0.800139,laugh
1740095397.0204,neutral,0,neutral,0.800139,laugh
1740095397.0521,neutral,0,neutral,0.800139,laugh
1740095397.0836,neutral,0,neutral,0.752609,laugh
1740095397.1151,neutral,0,neutral,0.752609,laugh
1740095397.1465,neutral,0,neutral,0.752609,laugh
1740095397.1776,neutral,0,neutral,0.752609,laugh
1740095397.2089,neutral,0,neutral,0.559445,laugh
1740095397.2402,neutral,0,neutral,0.559445,laugh
1740095397.2717,neutral,0,neutral,0.559445,laugh
1740095397.3037,neutral,0,neutral,0.559445,laugh
1740095397.3352,neutral,0,neutral,0.450261,laugh
1740095397.3669,neutral,0,neutral,0.450261,laugh
1740095397.3986,neutral,0,neutral,0.450261,laugh
1740095397.4304,neutral,0,neutral,0.450261,laugh
1740095397.4623,neutral,0,neutral,0.418205,laugh
1740095397.494,neutral,0,neutral,0.418205,laugh
1740095397.5253,neutral,0,neutral,0.418205,laugh
1740095397.5564,neutral,0,neutral,0.418205,laugh
1740095397.5878,neutral,0,neutral,0.432567,laugh
1740095397.6195,neutral,0,neutral,0.432567,laugh
1740095397.651,neutral,0,neutral,0.432567,laugh
1740095397.6827,neutral,0,neutral,0.432567,laugh
1740095397.7144,neutral,0,neutral,0.761024,laugh
1740095397.746,neutral,0,neutral,0.761024,laugh
1740095397.7775,neutral,0,neutral,0.761024,laugh
1740095397.8088,neutral,0,neutral,0.761024,laugh
1740095397.8399,neutral,0,neutral,1,laugh
1740095397.8712,neutral,0,neutral,1,laugh
1740095397.903,neutral,0,neutral,1,laugh
1740095397.9347,neutral,0,neutral,1,laugh
1740095397.9662,neutral,0,neutral,1,laugh
1740095397.9979,neutral,0,neutral,1,laugh
1740095398.0296,neutral,0,neutral,1,laugh
1740095398.0612,winkR,0,neutral,1,laugh
1740095398.0927,winkR,0,neutral,1,laugh
1740095398.124,winkR,0,neutral,1,laugh
1740095398.1551,winkR,0,neutral,1,laugh
1740095398.1863,winkR,0,neutral,1,laugh
1740095398.218,winkR,0,neutral,1,laugh
1740095398.2495,winkR,0,neutral,1,laugh
1740095398.281,winkR,0,neutral,1,laugh
1740095398.3125,neutral,0,neutral,1,laugh
1740095398.3441,neutral,0,neutral,1,laugh
1740095398.3756,neutral,0,neutral,1,laugh
1740095398.4069,neutral,0,neutral,1,laugh
1740095398.438,blink,0,neutral,1,laugh
1740095398.4695,blink,0,neutral,1,laugh
1740095398.5007,blink,0,neutral,1,laugh
1740095398.5324,blink,0,neutral,1,laugh
1740095398.5641,blink,0,neutral,1,laugh
1740095398.5958,neutral,0,neutral,1,laugh
1740095398.6275,neutral,0,neutral,1,laugh
1740095398.6595,neutral,0,neutral,1,laugh
1740095398.691,neutral,0,neutral,1,laugh
1740095398.7225,neutral,0,neutral,1,laugh
1740095398.7536,winkR,0,neutral,1,laugh
1740095398.7848,winkR,0,neutral,1,laugh
1740095398.8161,winkR,0,neutral,1,laugh
1740095398.8478,winkR,0,neutral,1,laugh
1740095398.8793,winkR,0,neutral,1,laugh
1740095398.911,winkR,0,neutral,1,laugh
1740095398.9426,neutral,0,neutral,1,laugh
1740095398.9743,neutral,0,neutral,1,laugh
1740095399.0058,neutral,0,neutral,1,laugh
1740095399.0373,neutral,0,neutral,1,laugh
1740095399.0684,neutral,0,neutral,1,laugh
1740095399.0998,neutral,0,neutral,1,laugh
1740095399.1311,neutral,0,neutral,1,laugh
1740095399.1628,neutral,0,neutral,1,laugh
1740095399.1941,neutral,0,neutral,1,laugh
1740095399.2258,neutral,0,neutral,1,laugh
1740095399.2574,neutral,0,neutral,1,laugh
1740095399.2889,neutral,0,neutral,1,laugh
1740095399.3206,neutral,0,neutral,1,laugh
1740095399.3525,neutral,0,neutral,1,laugh
1740095399.3838,neutral,0,neutral,1,laugh
1740095399.415,neutral,0,neutral,1,laugh
1740095399.4467,neutral,0,neutral,1,laugh
1740095399.4784,neutral,0,neutral,1,laugh
1740095399.5099,neutral,0,neutral,1,laugh
1740095399.5415,neutral,0,neutral,1,laugh
1740095399.5732,neutral,0,neutral,1,laugh
1740095399.6051,neutral,0,neutral,1,laugh
1740095399.6364,neutral,0,neutral,1,laugh
1740095399.6677,neutral,0,neutral,1,laugh
1740095399.6989,neutral,0,neutral,1,laugh
1740095399.7302,neutral,0,neutral,1,laugh
1740095399.7619,neutral,0,neutral,1,laugh
1740095399.7934,neutral,0,neutral,1,laugh
1740095399.8249,neutral,0,neutral,1,laugh
1740095399.8567,neutral,0,neutral,1,laugh
1740095399.8884,neutral,0,neutral,1,laugh
1740095399.9201,neutral,0,neutral,1,laugh
1740095399.9516,neutral,0,neutral,1,laugh
1740095399.9827,neutral,0,neutral,0.851426,laugh
1740095400.0139,neutral,0,neutral,0.851426,laugh
1740095400.045,neutral,0,neutral,0.851426,laugh
1740095400.0767,neutral,0,neutral,0.851426,laugh
1740095400.108,neutral,0,neutral,0.916016,laugh
1740095400.1398,neutral,0,neutral,0.916016,laugh
1740095400.1717,neutral,0,neutral,0.916016,laugh
1740095400.2034,neutral,0,neutral,0.916016,laugh
1740095400.2349,neutral,0,neutral,0.64985,laugh
1740095400.2664,neutral,0,neutral,0.64985,laugh
1740095400.2978,neutral,0,neutral,0.64985,laugh
1740095400.3289,neutral,0,neutral,0.64985,laugh
1740095400.3602,neutral,0,neutral,0.55966,laugh
1740095400.3921,neutral,0,neutral,0.55966,laugh
1740095400.4236,neutral,0,neutral,0.55966,laugh
1740095400.4556,neutral,0,neutral,0.55966,laugh
1740095400.4873,neutral,0,neutral,1,laugh
1740095400.5188,neutral,0,neutral,1,laugh
1740095400.5503,neutral,0,neutral,1,laugh
1740095400.5818,neutral,0,neutral,1,laugh
1740095400.6132,neutral,0,neutral,1,laugh
1740095400.6443,neutral,0,neutral,1,laugh
1740095400.6756,neutral,0,neutral,1,laugh
1740095400.7073,neutral,0,neutral,1,laugh
1740095400.7386,blink,0,neutral,1,laugh
1740095400.7706,blink,0,neutral,1,laugh
1740095400.8021,blink,0,neutral,1,laugh
1740095400.8336,neutral,0,neutral,1,laugh
1740095400.8651,neutral,0,neutral,1,laugh
1740095400.8967,neutral,0,neutral,1,laugh
1740095400.928,neutral,0,neutral,1,laugh
1740095400.9595,neutral,0,neutral,1,laugh
1740095400.9912,blink,0,neutral,1,laugh
1740095401.0225,blink,0,neutral,1,laugh
1740095401.0543,neutral,0,neutral,1,laugh
1740095401.086,neutral,0,neutral,1,laugh
1740095401.1175,neutral,0,neutral,1,laugh
1740095401.1492,neutral,0,neutral,1,laugh
1740095401.1807,neutral,0,neutral,1,laugh
1740095401.2121,neutral,0,neutral,1,laugh
1740095401.2436,neutral,0,neutral,1,laugh
1740095401.2749,neutral,0,neutral,1,laugh
1740095401.3066,neutral,0,neutral,1,laugh
1740095401.3383,neutral,0,neutral,1,laugh
1740095401.3699,neutral,0,neutral,1,laugh
1740095401.4016,neutral,0,neutral,1,laugh
1740095401.4331,neutral,0,neutral,1,laugh
1740095401.4646,neutral,0,neutral,1,laugh
1740095401.4961,neutral,0,neutral,1,laugh
1740095401.5275,neutral,0,neutral,1,laugh
1740095401.5588,neutral,0,neutral,1,laugh
1740095401.5903,neutral,0,neutral,1,laugh
1740095401.6218,neutral,0,neutral,1,laugh
1740095401.6532,neutral,0,neutral,1,laugh
1740095401.685,neutral,0,neutral,1,laugh
1740095401.7169,neutral,0,neutral,1,laugh
1740095401.7484,neutral,0,neutral,1,laugh
1740095401.7801,neutral,0,neutral,1,laugh
1740095401.8117,neutral,0,neutral,1,laugh
1740095401.8434,neutral,0,neutral,1,laugh
1740095401.8749,neutral,0,neutral,1,laugh
1740095401.9066,winkR,0,neutral,1,laugh
1740095401.9383,winkR,0,neutral,1,laugh
1740095401.9699,winkR,0,neutral,1,laugh
1740095402.0014,winkR,0,neutral,1,laugh
1740095402.0329,winkR,0,neutral,1,laugh
1740095402.0644,winkR,0,neutral,1,laugh
1740095402.0961,winkR,0,neutral,1,laugh
1740095402.1277,winkR,0,neutral,1,laugh
1740095402.1588,neutral,0,neutral,1,laugh
1740095402.1899,neutral,0,neutral,1,laugh
1740095402.2214,neutral,0,neutral,1,laugh
1740095402.2527,neutral,0,neutral,1,laugh
