timestamp,P,A,D
1740095466.5551,0.74,0.58,-0.34
1740095467.0591,0.72,0.6,-0.36
1740095467.5644,0.69,0.61,-0.39
1740095468.0685,0.68,0.61,-0.4
1740095468.5737,0.68,0.61,-0.4
1740095469.0784,0.7,0.62,-0.34
1740095469.5821,0.72,0.62,-0.31
1740095470.0863,0.72,0.62,-0.31
1740095470.5904,0.71,0.64,-0.3
1740095471.0957,0.71,0.64,-0.28
1740095471.6001,0.71,0.64,-0.28
1740095472.1054,0.72,0.63,-0.28
1740095472.6092,0.73,0.62,-0.28
1740095473.1129,0.75,0.6,-0.29
1740095473.6182,0.75,0.6,-0.29
1740095474.1233,0.75,0.6,-0.28
1740095474.6271,0.74,0.61,-0.28
1740095475.1314,0.71,0.64,-0.29
1740095475.6351,0.71,0.64,-0.29
1740095476.1406,0.72,0.64,-0.28
1740095476.6435,0.72,0.63,-0.29
1740095477.1482,0.71,0.62,-0.34
1740095477.6531,0.71,0.62,-0.34
1740095478.1587,0.71,0.63,-0.31
1740095478.6618,0.7,0.64,-0.33
1740095479.167,0.69,0.65,-0.33
1740095479.6717,0.72,0.62,-0.31
1740095480.1775,0.74,0.6,-0.29
1740095480.6838,0.78,0.57,-0.27
1740095481.187,0.82,0.53,-0.22
1740095481.6905,0.85,0.5,-0.2
1740095482.1942,0.84,0.51,-0.2
1740095482.697,0.84,0.51,-0.2
1740095483.2015,0.79,0.56,-0.25
1740095483.7048,0.76,0.59,-0.27
1740095484.2104,0.76,0.58,-0.3
1740095484.715,0.76,0.58,-0.3
1740095485.2179,0.76,0.58,-0.29
1740095485.7229,0.81,0.54,-0.21
1740095486.2264,0.81,0.56,-0.18
1740095486.7312,0.8,0.57,-0.18
1740095487.2366,0.78,0.59,-0.21
1740095487.7394,0.75,0.62,-0.23
1740095488.2444,0.73,0.63,-0.27
1740095488.7503,0.73,0.63,-0.27
1740095489.2547,0.75,0.6,-0.26
1740095489.7599,0.74,0.6,-0.29
1740095490.2626,0.74,0.59,-0.31
1740095490.7653,0.74,0.58,-0.33
1740095491.2707,0.76,0.56,-0.32
1740095491.773,0.78,0.52,-0.34
1740095492.2776,0.78,0.52,-0.34
1740095492.7818,0.76,0.57,-0.32
1740095493.2855,0.73,0.59,-0.35
1740095493.7908,0.7,0.62,-0.36
1740095494.2942,0.7,0.62,-0.36
1740095494.7977,0.72,0.6,-0.33
1740095495.3031,0.72,0.6,-0.34
