timestamp,interest,activeInterest,relaxation,activeRelaxation,engagement,activeEngagement,excitement,activeExcitement,stress,activeStress
1740095735.3701,0.448875,true,0.172475,true,0.354882,true,0.469277,true,0.232979,true
1740095735.874,0.448363,true,0.15592,true,0.354923,true,0.445977,true,0.232927,true
1740095736.3787,0.443895,true,0.155483,true,0.342131,true,0.413046,true,0.214119,true
1740095736.8832,0.438142,true,0.155596,true,0.339278,true,0.377452,true,0.214215,true
1740095737.3877,0.433613,true,0.174411,true,0.313442,true,0.342945,true,0.233427,true
1740095737.8916,0.430873,true,0.174506,true,0.313506,true,0.317146,true,0.236834,true
1740095738.3966,0.429519,true,0.164406,true,0.314043,true,0.295325,true,0.236902,true
1740095738.9003,0.4288,true,0.16451,true,0.388994,true,0.277297,true,0.22701,true
1740095739.4054,0.428498,true,0.184147,true,0.417748,true,0.260906,true,0.22709,true
1740095739.91,0.428623,true,0.229802,true,0.417766,true,0.247796,true,0.229253,true
1740095740.4153,0.428723,true,0.229856,true,0.412799,true,0.240123,true,0.22933,true
1740095740.9197,0.428163,true,0.223121,true,0.355609,true,0.231853,true,0.232124,true
1740095741.4246,0.426849,true,0.209648,true,0.333964,true,0.224195,true,0.232197,true
1740095741.9296,0.425441,true,0.199099,true,0.32433,true,0.218336,true,0.233614,true
1740095742.4336,0.424898,true,0.199173,true,0.320224,true,0.210765,true,0.234494,true
1740095742.9361,0.425567,true,0.217244,true,0.255514,true,0.206058,true,0.261384,true
1740095743.4392,0.426625,true,0.245037,true,0.255622,true,0.199164,true,0.307582,true
1740095743.9441,0.42709,true,0.295946,true,0.258782,true,0.199215,true,0.358139,true
1740095744.447,0.427203,true,0.334152,true,0.292798,true,0.203352,true,0.358143,true
1740095744.9516,0.427249,true,0.334166,true,0.292875,true,0.217763,true,0.354195,true
1740095745.4562,0.427095,true,0.334179,true,0.363749,true,0.228919,true,0.3458,true
1740095745.9602,0.426668,true,0.335663,true,0.506311,true,0.234331,true,0.345807,true
1740095746.4655,0.426206,true,0.339081,true,0.50631,true,0.236142,true,0.345814,true
1740095746.9689,0.426037,true,0.339093,true,0.422038,true,0.248325,true,0.343155,true
1740095747.4748,0.426256,true,0.339105,true,0.328031,true,0.269668,true,0.339792,true
1740095747.9793,0.42664,true,0.338478,true,0.282654,true,0.281933,true,0.3398,true
1740095748.4842,0.426996,true,0.314788,true,0.282739,true,0.281954,true,0.347296,true
1740095748.9886,0.427103,true,0.309714,true,0.286507,true,0.278378,true,0.347303,true
1740095749.4918,0.423192,true,0.296811,true,0.327003,true,0.264927,true,0.32272,true
1740095749.9969,0.424804,true,0.287121,true,0.352897,true,0.250026,true,0.322733,true
1740095750.5012,0.426142,true,0.271542,true,0.352939,true,0.236765,true,0.324574,true
1740095751.0056,0.426855,true,0.268682,true,0.34718,true,0.220749,true,0.324586,true
1740095751.5097,0.422746,true,0.236026,true,0.31903,true,0.20622,true,0.314651,true
1740095752.0152,0.423539,true,0.233876,true,0.252083,true,0.191473,true,0.288057,true
1740095752.52,0.42366,true,0.233927,true,0.227127,true,0.177914,true,0.275185,true
1740095753.0235,0.423505,true,0.247201,true,0.184901,true,0.166226,true,0.261606,true
1740095753.5273,0.423194,true,0.247245,true,0.185086,true,0.157127,true,0.245297,true
1740095754.0316,0.419205,true,0.221173,true,0.258608,true,0.149019,true,0.238784,true
1740095754.5367,0.419851,true,0.188407,true,0.331191,true,0.143081,true,0.226908,true
1740095755.0413,0.421445,true,0.188488,true,0.374874,true,0.138609,true,0.226987,true
1740095755.5466,0.421702,true,0.192807,true,0.374907,true,0.133751,true,0.232346,true
1740095756.0506,0.421991,true,0.192885,true,0.37494,true,0.12847,true,0.240557,true
1740095756.5554,0.422413,true,0.192963,true,0.380161,true,0.122607,true,0.268913,true
1740095757.0591,0.422934,true,0.233253,true,0.380191,true,0.12198,true,0.31594,true
1740095757.5637,0.423506,true,0.249642,true,0.307511,true,0.122079,true,0.315955,true
1740095758.0656,0.423831,true,0.256403,true,0.217643,true,0.129929,true,0.317218,true
1740095758.5704,0.423794,true,0.282164,true,0.20664,true,0.140416,true,0.325304,true
1740095759.0745,0.423502,true,0.282241,true,0.206798,true,0.156372,true,0.330542,true
1740095759.5786,0.42322,true,0.301836,true,0.250239,true,0.183248,true,0.357252,true
1740095760.0833,0.419523,true,0.332715,true,0.314614,true,0.22155,true,0.384138,true
1740095760.5883,0.42253,true,0.338801,true,0.457187,true,0.275455,true,0.392186,true
1740095761.092,0.420263,true,0.354263,true,0.498282,true,0.322299,true,0.401042,true
1740095761.5953,0.418502,true,0.363092,true,0.545966,true,0.351037,true,0.392176,true
1740095762.0998,0.417065,true,0.363099,true,0.607886,true,0.366231,true,0.386794,true
1740095762.6057,0.418869,true,0.308019,true,0.619124,true,0.366233,true,0.335433,true
1740095763.1086,0.420377,true,0.263596,true,0.619094,true,0.365597,true,0.296036,true
